name,age,major,sex,T1,T2,T3
04EfHMvU.txt,19,计算机科学与技术,male,422,231,277
0wMz3Fk6.txt,18,经济学,female,112,128,142
3N96CH1z.txt,22,过程装备与控制工程,male,23,22,22
5c7S6Rdf.txt,19,计算机科学与技术,female,187,175,189
6qBNfjDJ.txt,20,计算机科学与技术,male,311,399,212
85Tl04oV.txt,20,计科,female,163,228,80
aDhy6973.txt,19,经济学,female,110,139,115
akw6Rioq.txt,19,计算机科学与技术,male,238,227,173
aMwFj20e.txt,19,计算机科学与技术,male,251,159,251
bjyDhtuM.txt,19,计算机科学与技术,male,214,105,213
DBe8OJPY.txt,19,计算机,female,212,144,257
dW7ylAFr.txt,19,计算机科学与技术,female,101,104,104
fvIl7zmn.txt,17,计算机科学与技术,male,101,34,33
GwiqYad2.txt,18,经济学,female,110,122,183
IL14pTJv.txt,25,电子信息,male,13,9,8
j3cThA9B.txt,19,计算机科学与技术,male,207,138,217
Kl7PX35A.txt,18,经济学,female,166,356,95
KwQoxzk1.txt,18,计算机科学与技术,male,316,294,119
lGAtdEYq.txt,21,过程控制与装备过程,male,522,281,163
MEo9HqFa.txt,19,计算机科学与技术,male,245,221,265
MK42izyJ.txt,21,过程控制与装备过程,male,522,281,163
Na8MHXCy.txt,20,过控,male,19,8,15
nVM4uNjD.txt,19,计算机科学与技术,female,194,244,140
Oj6Kl4QY.txt,19,计算机科学与技术,male,338,196,155
PLVR0OG2.txt,19,计算机科学与技术,male,211,254,261
RO1ga8k9.txt,19,计算机科学与技术,male,233,480,362
rxdUSz2l.txt,23,计算机科学与技术,male,86,76,120
ulvwQEz7.txt,37,计算机,male,228,86,142
uNTDdLZk.txt,17,计算机科学与技术,male,149,211,195
vt4fgaKD.txt,null,null,null,54,166,77
xbqshZDt.txt,19,计算机科学与技术,male,206,153,148
YSOfowex.txt,null,null,null,54,166,77
z6ZPGdyX.txt,20,计算机科学与技术,male,429,202,304
ZLYR4hvq.txt,20,过程装备与控制工程,male,234,174,122
