name,age,major,sex,T1,T2,T3
04EfHMvU.txt,19,计算机科学与技术,male,385,226,265
0wMz3Fk6.txt,18,经济学,female,102,106,141
3N96CH1z.txt,22,过程装备与控制工程,male,24,19,22
5c7S6Rdf.txt,19,计算机科学与技术,female,174,183,214
6qBNfjDJ.txt,20,计算机科学与技术,male,297,369,200
85Tl04oV.txt,20,计科,female,162,224,69
aDhy6973.txt,19,经济学,female,104,127,107
akw6Rioq.txt,19,计算机科学与技术,male,225,194,163
aMwFj20e.txt,19,计算机科学与技术,male,253,124,223
bjyDhtuM.txt,19,计算机科学与技术,male,196,106,189
DBe8OJPY.txt,19,计算机,female,194,133,246
dW7ylAFr.txt,19,计算机科学与技术,female,65,92,79
fvIl7zmn.txt,17,计算机科学与技术,male,103,46,35
GwiqYad2.txt,18,经济学,female,107,96,153
IL14pTJv.txt,25,电子信息,male,10,19,14
j3cThA9B.txt,19,计算机科学与技术,male,195,131,221
Kl7PX35A.txt,18,经济学,female,152,375,91
KwQoxzk1.txt,18,计算机科学与技术,male,318,278,121
lGAtdEYq.txt,21,过程控制与装备过程,male,511,251,154
MEo9HqFa.txt,19,计算机科学与技术,male,231,211,241
MK42izyJ.txt,21,过程控制与装备过程,male,504,266,138
Na8MHXCy.txt,20,过控,male,36,25,25
nVM4uNjD.txt,19,计算机科学与技术,female,169,239,142
Oj6Kl4QY.txt,19,计算机科学与技术,male,293,186,157
PLVR0OG2.txt,19,计算机科学与技术,male,212,251,242
RO1ga8k9.txt,19,计算机科学与技术,male,234,460,347
rxdUSz2l.txt,23,计算机科学与技术,male,52,69,114
ulvwQEz7.txt,37,计算机,male,191,65,129
uNTDdLZk.txt,17,计算机科学与技术,male,119,193,187
vt4fgaKD.txt,null,null,null,59,159,55
xbqshZDt.txt,19,计算机科学与技术,male,204,132,105
YSOfowex.txt,null,null,null,47,147,75
z6ZPGdyX.txt,20,计算机科学与技术,male,424,174,293
ZLYR4hvq.txt,20,过程装备与控制工程,male,237,155,99
