sex: male
major: 计算机科学与技术
age: 20
Test2Choice: 3
Test2Timecost: 472
Test3Choice: 3
Test3Timecost: 56
Test4Choice: 2
Test4Timecost: 101
Test5Choice: 4
Test5Timecost: 148
Test6Choice: 2
Test6Timecost: 95
Test7Choice: 3
Test7Timecost: 238
Test8Choice: 4
Test8Timecost: 95
Test9Choice: 3
Test9Timecost: 110
Test10Choice: 1
Test10Timecost: 62
Test11Choice: 2
Test11Timecost: 64
Test12Choice: 1
Test12Timecost: 63
Test13Choice: 2
Test13Timecost: 118
Test14Choice: 4
Test14Timecost: 325
Test15Choice: 1
Test15Timecost: 16
Test16Choice: 1
Test16Timecost: 63
Test17Choice: 3
Test17Timecost: 83
Test18Choice: 3
Test18Timecost: 151
Test19Choice: 4
Test19Timecost: 79
Test20Choice: 2
Test20Timecost: 87
Test21Choice: 3
Test21Timecost: 107
Test22Choice: 1
Test22Timecost: 27
Test23Choice: 3
Test23Timecost: 35
Test24Choice: 4
Test24Timecost: 49
Test25Choice: 3
Test25Timecost: 42
Test26Choice: 1
Test26Timecost: 10
Test27Choice: 3
Test27Timecost: 58
Test28Choice: 2
Test28Timecost: 31
Test29Choice: 1
Test29Timecost: 96
Test30Choice: 1
Test30Timecost: 34
Test31Choice: 3
Test31Timecost: 33
Test32Choice: 3
Test32Timecost: 81
Test33Choice: 3
Test33Timecost: 144
Test34Choice: 2
Test34Timecost: 73
Test35Choice: 4
Test35Timecost: 85
Test36Choice: 3
Test36Timecost: 105
Test37Choice: 3
Test37Timecost: 17
Test38Choice: 4
Test38Timecost: 34
Test39Choice: 3
Test39Timecost: 51
Test40Choice: 3
Test40Timecost: 48
Test41Choice: 2
Test41Timecost: 4
Test42Choice: 3
Test42Timecost: 45
Test43Choice: 2
Test43Timecost: 33
Test44Choice: 4
Test44Timecost: 93
Test45Choice: 1
Test45Timecost: 24
Test46Choice: 3
Test46Timecost: 29
Q1: 2
Q2: 3
Q3: 2
Q4: 2
Q5: 2
Q6: 2
Q7: 2
Q8: 4
Q9: 2
Q10: 2
questionOrder: AL:1,MA:1,PR:1;AL:3,MA:1,PR:2;AL:2,MA:2,PR:2;AL:3,MA:5,PR:2;AL:2,MA:4,PR:1;AL:2,MA:5,PR:1;AL:2,MA:3,PR:2;AL:3,MA:2,PR:1;AL:2,MA:5,PR:3;AL:1,MA:3,PR:3;AL:3,MA:5,PR:3;AL:1,MA:2,PR:2;AL:3,MA:1,PR:1;AL:3,MA:4,PR:3;AL:1,MA:2,PR:3;AL:1,MA:5,PR:2;AL:1,MA:5,PR:1;AL:2,MA:1,PR:1;AL:3,MA:4,PR:1;AL:3,MA:5,PR:1;AL:1,MA:1,PR:3;AL:2,MA:4,PR:2;AL:3,MA:3,PR:2;AL:1,MA:4,PR:2;AL:1,MA:4,PR:3;AL:2,MA:5,PR:2;AL:3,MA:3,PR:3;AL:3,MA:3,PR:1;AL:1,MA:3,PR:1;AL:1,MA:1,PR:2;AL:3,MA:4,PR:2;AL:1,MA:4,PR:1;AL:2,MA:1,PR:3;AL:2,MA:1,PR:2;AL:3,MA:2,PR:2;AL:2,MA:4,PR:3;AL:2,MA:2,PR:1;AL:1,MA:2,PR:1;AL:1,MA:3,PR:2;AL:2,MA:3,PR:1;AL:3,MA:1,PR:3;AL:3,MA:2,PR:3;AL:2,MA:3,PR:3;AL:2,MA:2,PR:3;AL:1,MA:5,PR:3;
startTime: Sat Mar 26 2022 16:14:57 GMT+0800 (中国标准时间)
finishTime: Sat Mar 26 2022 17:11:12 GMT+0800 (中国标准时间)
