sex: male
major: 电子信息
age: 25
Test2Choice: 2
Test2Timecost: 28
Test3Choice: 1
Test3Timecost: 2
Test4Choice: 3
Test4Timecost: 2
Test5Choice: 2
Test5Timecost: 1
Test6Choice: 4
Test6Timecost: 3
Test7Choice: 1
Test7Timecost: 2
Test8Choice: 3
Test8Timecost: 1
Test9Choice: 3
Test9Timecost: 1
Test10Choice: 1
Test10Timecost: 4
Test11Choice: 2
Test11Timecost: 2
Test12Choice: 3
Test12Timecost: 3
Test13Choice: 3
Test13Timecost: 2
Test14Choice: 1
Test14Timecost: 2
Test15Choice: 3
Test15Timecost: 1
Test16Choice: 1
Test16Timecost: 1
Test17Choice: 4
Test17Timecost: 1
Test18Choice: 4
Test18Timecost: 4
Test19Choice: 4
Test19Timecost: 1
Test20Choice: 3
Test20Timecost: 2
Test21Choice: 3
Test21Timecost: 1
Test22Choice: 4
Test22Timecost: 1
Test23Choice: 1
Test23Timecost: 3
Test24Choice: 3
Test24Timecost: 1
Test25Choice: 2
Test25Timecost: 2
Test26Choice: 1
Test26Timecost: 4
Test27Choice: 2
Test27Timecost: 2
Test28Choice: 4
Test28Timecost: 1
Test29Choice: 3
Test29Timecost: 3
Test30Choice: 1
Test30Timecost: 1
Test31Choice: 3
Test31Timecost: 3
Test32Choice: 4
Test32Timecost: 2
Test33Choice: 3
Test33Timecost: 5
Test34Choice: 3
Test34Timecost: 1
Test35Choice: 2
Test35Timecost: 2
Test36Choice: 3
Test36Timecost: 1
Test37Choice: 1
Test37Timecost: 1
Test38Choice: 3
Test38Timecost: 1
Test39Choice: 3
Test39Timecost: 9
Test40Choice: 1
Test40Timecost: 3
Test41Choice: 1
Test41Timecost: 2
Test42Choice: 2
Test42Timecost: 3
Test43Choice: 3
Test43Timecost: 7
Test44Choice: 3
Test44Timecost: 3
Test45Choice: 3
Test45Timecost: 1
Test46Choice: 3
Test46Timecost: 2
Q1: 3
Q2: 2
Q3: 4
Q4: 3
Q5: 3
Q6: 2
Q7: 4
Q8: 2
Q9: 3
Q10: 2
questionOrder: AL:1,MA:1,PR:1;AL:2,MA:2,PR:2;AL:3,MA:4,PR:3;AL:2,MA:2,PR:1;AL:3,MA:2,PR:2;AL:2,MA:3,PR:1;AL:3,MA:1,PR:3;AL:1,MA:3,PR:1;AL:1,MA:4,PR:3;AL:1,MA:4,PR:1;AL:2,MA:1,PR:2;AL:1,MA:3,PR:2;AL:2,MA:1,PR:3;AL:3,MA:2,PR:1;AL:1,MA:5,PR:3;AL:3,MA:1,PR:2;AL:1,MA:4,PR:2;AL:2,MA:2,PR:3;AL:3,MA:1,PR:1;AL:3,MA:4,PR:2;AL:3,MA:5,PR:2;AL:1,MA:5,PR:1;AL:2,MA:3,PR:3;AL:2,MA:4,PR:1;AL:3,MA:3,PR:3;AL:1,MA:3,PR:3;AL:2,MA:5,PR:2;AL:3,MA:3,PR:2;AL:1,MA:2,PR:3;AL:2,MA:5,PR:1;AL:3,MA:4,PR:1;AL:2,MA:1,PR:1;AL:2,MA:4,PR:2;AL:1,MA:5,PR:2;AL:3,MA:5,PR:1;AL:1,MA:1,PR:3;AL:1,MA:1,PR:2;AL:1,MA:2,PR:1;AL:3,MA:5,PR:3;AL:3,MA:3,PR:1;AL:3,MA:2,PR:3;AL:2,MA:3,PR:2;AL:1,MA:2,PR:2;AL:2,MA:5,PR:3;AL:2,MA:4,PR:3;
startTime: Sat Mar 26 2022 15:59:03 GMT+0800 (中国标准时间)
finishTime: Sat Mar 26 2022 16:00:59 GMT+0800 (中国标准时间)
