sex: male
major: 计算机科学与技术
age: 19
Test2Choice: 3
Test2Timecost: 81
Test3Choice: 3
Test3Timecost: 116
Test4Choice: 3
Test4Timecost: 96
Test5Choice: 2
Test5Timecost: 50
Test6Choice: 3
Test6Timecost: 45
Test7Choice: 3
Test7Timecost: 27
Test8Choice: 2
Test8Timecost: 40
Test9Choice: 2
Test9Timecost: 33
Test10Choice: 4
Test10Timecost: 57
Test11Choice: 4
Test11Timecost: 101
Test12Choice: 3
Test12Timecost: 39
Test13Choice: 4
Test13Timecost: 41
Test14Choice: 2
Test14Timecost: 18
Test15Choice: 3
Test15Timecost: 53
Test16Choice: 2
Test16Timecost: 53
Test17Choice: 3
Test17Timecost: 36
Test18Choice: 4
Test18Timecost: 65
Test19Choice: 4
Test19Timecost: 23
Test20Choice: 4
Test20Timecost: 58
Test21Choice: 1
Test21Timecost: 28
Test22Choice: 3
Test22Timecost: 64
Test23Choice: 3
Test23Timecost: 61
Test24Choice: 3
Test24Timecost: 82
Test25Choice: 4
Test25Timecost: 37
Test26Choice: 4
Test26Timecost: 73
Test27Choice: 2
Test27Timecost: 19
Test28Choice: 3
Test28Timecost: 94
Test29Choice: 1
Test29Timecost: 17
Test30Choice: 4
Test30Timecost: 27
Test31Choice: 3
Test31Timecost: 47
Test32Choice: 3
Test32Timecost: 40
Test33Choice: 3
Test33Timecost: 66
Test34Choice: 4
Test34Timecost: 9
Test35Choice: 2
Test35Timecost: 53
Test36Choice: 3
Test36Timecost: 28
Test37Choice: 3
Test37Timecost: 62
Test38Choice: 1
Test38Timecost: 60
Test39Choice: 2
Test39Timecost: 75
Test40Choice: 4
Test40Timecost: 34
Test41Choice: 4
Test41Timecost: 75
Test42Choice: 3
Test42Timecost: 24
Test43Choice: 4
Test43Timecost: 99
Test44Choice: 2
Test44Timecost: 3
Test45Choice: 3
Test45Timecost: 18
Test46Choice: 2
Test46Timecost: 37
Q1: 5
Q2: 3
Q3: 5
Q4: 1
Q5: 5
Q6: 5
Q7: 4
Q8: 2
Q9: 4
Q10: 3
questionOrder: AL:1,MA:1,PR:1;AL:2,MA:5,PR:1;AL:1,MA:5,PR:2;AL:2,MA:4,PR:1;AL:3,MA:4,PR:2;AL:2,MA:4,PR:2;AL:2,MA:4,PR:3;AL:3,MA:5,PR:3;AL:3,MA:3,PR:2;AL:3,MA:1,PR:1;AL:2,MA:5,PR:3;AL:2,MA:3,PR:2;AL:3,MA:4,PR:3;AL:3,MA:2,PR:1;AL:1,MA:2,PR:2;AL:1,MA:4,PR:2;AL:2,MA:3,PR:3;AL:1,MA:3,PR:3;AL:2,MA:2,PR:3;AL:1,MA:3,PR:1;AL:2,MA:2,PR:1;AL:3,MA:5,PR:2;AL:3,MA:3,PR:1;AL:2,MA:1,PR:1;AL:1,MA:1,PR:3;AL:1,MA:4,PR:3;AL:1,MA:5,PR:1;AL:2,MA:3,PR:1;AL:1,MA:3,PR:2;AL:3,MA:1,PR:2;AL:1,MA:2,PR:3;AL:2,MA:5,PR:2;AL:3,MA:2,PR:2;AL:2,MA:2,PR:2;AL:2,MA:1,PR:2;AL:1,MA:4,PR:1;AL:1,MA:1,PR:2;AL:1,MA:2,PR:1;AL:3,MA:3,PR:3;AL:3,MA:4,PR:1;AL:1,MA:5,PR:3;AL:3,MA:5,PR:1;AL:3,MA:1,PR:3;AL:3,MA:2,PR:3;AL:2,MA:1,PR:3;
startTime: Sat Mar 26 2022 16:15:04 GMT+0800 (中国标准时间)
finishTime: Sat Mar 26 2022 16:48:04 GMT+0800 (中国标准时间)
