sex: male
major: 计算机科学与技术
age: 19
Test2Choice: 3
Test2Timecost: 107
Test3Choice: 1
Test3Timecost: 118
Test4Choice: 4
Test4Timecost: 67
Test5Choice: 2
Test5Timecost: 47
Test6Choice: 3
Test6Timecost: 145
Test7Choice: 1
Test7Timecost: 44
Test8Choice: 4
Test8Timecost: 156
Test9Choice: 1
Test9Timecost: 77
Test10Choice: 2
Test10Timecost: 59
Test11Choice: 2
Test11Timecost: 99
Test12Choice: 3
Test12Timecost: 57
Test13Choice: 3
Test13Timecost: 32
Test14Choice: 4
Test14Timecost: 45
Test15Choice: 3
Test15Timecost: 64
Test16Choice: 1
Test16Timecost: 57
Test17Choice: 2
Test17Timecost: 67
Test18Choice: 2
Test18Timecost: 109
Test19Choice: 4
Test19Timecost: 32
Test20Choice: 4
Test20Timecost: 23
Test21Choice: 1
Test21Timecost: 15
Test22Choice: 3
Test22Timecost: 123
Test23Choice: 1
Test23Timecost: 52
Test24Choice: 4
Test24Timecost: 227
Test25Choice: 2
Test25Timecost: 65
Test26Choice: 3
Test26Timecost: 49
Test27Choice: 3
Test27Timecost: 60
Test28Choice: 3
Test28Timecost: 136
Test29Choice: 4
Test29Timecost: 42
Test30Choice: 3
Test30Timecost: 69
Test31Choice: 1
Test31Timecost: 6
Test32Choice: 2
Test32Timecost: 62
Test33Choice: 1
Test33Timecost: 110
Test34Choice: 4
Test34Timecost: 34
Test35Choice: 2
Test35Timecost: 23
Test36Choice: 3
Test36Timecost: 2
Test37Choice: 1
Test37Timecost: 111
Test38Choice: 1
Test38Timecost: 50
Test39Choice: 1
Test39Timecost: 223
Test40Choice: 2
Test40Timecost: 55
Test41Choice: 3
Test41Timecost: 52
Test42Choice: 3
Test42Timecost: 48
Test43Choice: 3
Test43Timecost: 136
Test44Choice: 4
Test44Timecost: 47
Test45Choice: 3
Test45Timecost: 77
Test46Choice: 1
Test46Timecost: 11
Q1: 4
Q2: 1
Q3: 3
Q4: 3
Q5: 4
Q6: 1
Q7: 3
Q8: 2
Q9: 3
Q10: 5
questionOrder: AL:1,MA:1,PR:1;AL:2,MA:2,PR:3;AL:2,MA:3,PR:2;AL:3,MA:3,PR:3;AL:1,MA:3,PR:1;AL:1,MA:1,PR:3;AL:3,MA:1,PR:1;AL:3,MA:2,PR:3;AL:1,MA:5,PR:3;AL:2,MA:2,PR:2;AL:1,MA:4,PR:2;AL:2,MA:4,PR:2;AL:2,MA:1,PR:3;AL:3,MA:1,PR:2;AL:3,MA:1,PR:3;AL:2,MA:3,PR:3;AL:1,MA:4,PR:1;AL:1,MA:3,PR:2;AL:3,MA:3,PR:2;AL:1,MA:4,PR:3;AL:2,MA:5,PR:1;AL:2,MA:5,PR:3;AL:2,MA:1,PR:1;AL:1,MA:2,PR:2;AL:3,MA:4,PR:2;AL:2,MA:2,PR:1;AL:3,MA:5,PR:1;AL:3,MA:5,PR:2;AL:1,MA:2,PR:1;AL:3,MA:4,PR:3;AL:2,MA:4,PR:1;AL:1,MA:3,PR:3;AL:1,MA:2,PR:3;AL:3,MA:2,PR:1;AL:1,MA:1,PR:2;AL:3,MA:2,PR:2;AL:2,MA:5,PR:2;AL:3,MA:4,PR:1;AL:1,MA:5,PR:2;AL:1,MA:5,PR:1;AL:2,MA:1,PR:2;AL:3,MA:3,PR:1;AL:2,MA:3,PR:1;AL:3,MA:5,PR:3;AL:2,MA:4,PR:3;
startTime: Sat Mar 26 2022 16:14:49 GMT+0800 (中国标准时间)
finishTime: Sat Mar 26 2022 17:02:43 GMT+0800 (中国标准时间)
