sex: female
major: 经济学
age: 19
Test2Choice: 4
Test2Timecost: 170
Test3Choice: 2
Test3Timecost: 88
Test4Choice: 2
Test4Timecost: 34
Test5Choice: 4
Test5Timecost: 92
Test6Choice: 2
Test6Timecost: 116
Test7Choice: 1
Test7Timecost: 15
Test8Choice: 2
Test8Timecost: 49
Test9Choice: 4
Test9Timecost: 38
Test10Choice: 3
Test10Timecost: 51
Test11Choice: 4
Test11Timecost: 59
Test12Choice: 2
Test12Timecost: 6
Test13Choice: 1
Test13Timecost: 36
Test14Choice: 2
Test14Timecost: 46
Test15Choice: 2
Test15Timecost: 82
Test16Choice: 1
Test16Timecost: 40
Test17Choice: 2
Test17Timecost: 11
Test18Choice: 1
Test18Timecost: 19
Test19Choice: 1
Test19Timecost: 14
Test20Choice: 3
Test20Timecost: 20
Test21Choice: 2
Test21Timecost: 62
Test22Choice: 1
Test22Timecost: 16
Test23Choice: 2
Test23Timecost: 9
Test24Choice: 3
Test24Timecost: 34
Test25Choice: 1
Test25Timecost: 8
Test26Choice: 4
Test26Timecost: 31
Test27Choice: 1
Test27Timecost: 14
Test28Choice: 3
Test28Timecost: 71
Test29Choice: 4
Test29Timecost: 39
Test30Choice: 1
Test30Timecost: 10
Test31Choice: 1
Test31Timecost: 6
Test32Choice: 2
Test32Timecost: 13
Test33Choice: 2
Test33Timecost: 26
Test34Choice: 2
Test34Timecost: 22
Test35Choice: 4
Test35Timecost: 24
Test36Choice: 2
Test36Timecost: 60
Test37Choice: 1
Test37Timecost: 19
Test38Choice: 2
Test38Timecost: 16
Test39Choice: 4
Test39Timecost: 30
Test40Choice: 3
Test40Timecost: 4
Test41Choice: 4
Test41Timecost: 25
Test42Choice: 2
Test42Timecost: 5
Test43Choice: 1
Test43Timecost: 58
Test44Choice: 2
Test44Timecost: 26
Test45Choice: 2
Test45Timecost: 6
Test46Choice: 1
Test46Timecost: 4
Q1: 4
Q2: 2
Q3: 2
Q4: 2
Q5: 4
Q6: 2
Q7: 5
Q8: 2
Q9: 2
Q10: 2
questionOrder: AL:1,MA:1,PR:1;AL:3,MA:2,PR:2;AL:2,MA:1,PR:2;AL:2,MA:2,PR:1;AL:2,MA:4,PR:1;AL:3,MA:4,PR:3;AL:1,MA:2,PR:2;AL:2,MA:3,PR:2;AL:1,MA:1,PR:2;AL:1,MA:5,PR:2;AL:2,MA:4,PR:3;AL:3,MA:5,PR:1;AL:1,MA:4,PR:2;AL:3,MA:4,PR:1;AL:1,MA:3,PR:1;AL:3,MA:3,PR:3;AL:1,MA:1,PR:3;AL:1,MA:5,PR:3;AL:3,MA:1,PR:2;AL:2,MA:2,PR:2;AL:3,MA:2,PR:3;AL:2,MA:3,PR:3;AL:3,MA:2,PR:1;AL:2,MA:1,PR:3;AL:1,MA:3,PR:2;AL:2,MA:2,PR:3;AL:3,MA:4,PR:2;AL:3,MA:3,PR:2;AL:2,MA:5,PR:3;AL:3,MA:1,PR:3;AL:1,MA:2,PR:3;AL:2,MA:5,PR:2;AL:3,MA:5,PR:2;AL:2,MA:1,PR:1;AL:2,MA:5,PR:1;AL:2,MA:3,PR:1;AL:3,MA:1,PR:1;AL:3,MA:5,PR:3;AL:1,MA:3,PR:3;AL:1,MA:4,PR:1;AL:1,MA:4,PR:3;AL:1,MA:2,PR:1;AL:3,MA:3,PR:1;AL:1,MA:5,PR:1;AL:2,MA:4,PR:2;
startTime: Sat Mar 26 2022 14:05:56 GMT+0800 (中国标准时间)
finishTime: Sat Mar 26 2022 14:29:24 GMT+0800 (中国标准时间)
