gender: male
major: Computer Science and Technology
age: 19
Test2Choice: 3
Test2Timecost: 158
Test3Choice: 3
Test3Timecost: 101
Test4Choice: 3
Test4Timecost: 139
Test5Choice: 3
Test5Timecost: 87
Test6Choice: 3
Test6Timecost: 8
Test7Choice: 1
Test7Timecost: 154
Test8Choice: 2
Test8Timecost: 58
Test9Choice: 2
Test9Timecost: 155
Test10Choice: 1
Test10Timecost: 82
Test11Choice: 1
Test11Timecost: 16
Test12Choice: 4
Test12Timecost: 45
Test13Choice: 2
Test13Timecost: 69
Test14Choice: 3
Test14Timecost: 55
Test15Choice: 1
Test15Timecost: 56
Test16Choice: 4
Test16Timecost: 23
Test17Choice: 3
Test17Timecost: 52
Test18Choice: 1
Test18Timecost: 26
Test19Choice: 4
Test19Timecost: 154
Test20Choice: 2
Test20Timecost: 158
Test21Choice: 2
Test21Timecost: 149
Test22Choice: 1
Test22Timecost: 63
Test23Choice: 3
Test23Timecost: 107
Test24Choice: 3
Test24Timecost: 25
Test25Choice: 3
Test25Timecost: 34
Test26Choice: 4
Test26Timecost: 98
Test27Choice: 3
Test27Timecost: 27
Test28Choice: 2
Test28Timecost: 16
Test29Choice: 2
Test29Timecost: 7
Test30Choice: 4
Test30Timecost: 4
Test31Choice: 1
Test31Timecost: 10
Test32Choice: 3
Test32Timecost: 47
Test33Choice: 3
Test33Timecost: 25
Test34Choice: 3
Test34Timecost: 149
Test35Choice: 3
Test35Timecost: 144
Test36Choice: 3
Test36Timecost: 146
Test37Choice: 1
Test37Timecost: 51
Test38Choice: 3
Test38Timecost: 101
Test39Choice: 2
Test39Timecost: 23
Test40Choice: 1
Test40Timecost: 39
Test41Choice: 2
Test41Timecost: 88
Test42Choice: 3
Test42Timecost: 25
Test43Choice: 2
Test43Timecost: 24
Test44Choice: 2
Test44Timecost: 5
Test45Choice: 1
Test45Timecost: 7
Test46Choice: 1
Test46Timecost: 2
Q1: 5
Q2: 1
Q3: 5
Q4: 5
Q5: 5
Q6: 2
Q7: 5
Q8: 3
Q9: 5
Q10: 2
questionOrder: AL:1,MA:1,PR:1;AL:1,MA:2,PR:1;AL:1,MA:1,PR:2;AL:2,MA:4,PR:2;AL:3,MA:4,PR:2;AL:2,MA:3,PR:3;AL:1,MA:3,PR:1;AL:3,MA:1,PR:3;AL:1,MA:5,PR:3;AL:2,MA:4,PR:3;AL:1,MA:3,PR:2;AL:3,MA:4,PR:1;AL:2,MA:1,PR:2;AL:3,MA:3,PR:3;AL:2,MA:3,PR:2;AL:1,MA:4,PR:2;AL:1,MA:3,PR:3;AL:3,MA:3,PR:1;AL:2,MA:1,PR:1;AL:1,MA:5,PR:2;AL:3,MA:5,PR:1;AL:3,MA:2,PR:2;AL:2,MA:3,PR:1;AL:2,MA:5,PR:3;AL:1,MA:5,PR:1;AL:1,MA:2,PR:2;AL:2,MA:2,PR:2;AL:1,MA:1,PR:3;AL:2,MA:5,PR:1;AL:3,MA:5,PR:3;AL:2,MA:4,PR:1;AL:1,MA:4,PR:3;AL:3,MA:1,PR:2;AL:3,MA:2,PR:1;AL:3,MA:2,PR:3;AL:2,MA:2,PR:1;AL:3,MA:1,PR:1;AL:1,MA:2,PR:3;AL:1,MA:4,PR:1;AL:2,MA:5,PR:2;AL:2,MA:2,PR:3;AL:3,MA:3,PR:2;AL:3,MA:5,PR:2;AL:2,MA:1,PR:3;AL:3,MA:4,PR:3;
time: 2205s
