gender: female
major: Computer Science and Technology
age: 19
Test2Choice: 4
Test2Timecost: 118
Test3Choice: 3
Test3Timecost: 82
Test4Choice: 1
Test4Timecost: 52
Test5Choice: 4
Test5Timecost: 134
Test6Choice: 1
Test6Timecost: 43
Test7Choice: 2
Test7Timecost: 141
Test8Choice: 4
Test8Timecost: 70
Test9Choice: 2
Test9Timecost: 47
Test10Choice: 4
Test10Timecost: 9
Test11Choice: 1
Test11Timecost: 18
Test12Choice: 1
Test12Timecost: 7
Test13Choice: 1
Test13Timecost: 77
Test14Choice: 1
Test14Timecost: 42
Test15Choice: 1
Test15Timecost: 24
Test16Choice: 3
Test16Timecost: 45
Test17Choice: 4
Test17Timecost: 58
Test18Choice: 1
Test18Timecost: 7
Test19Choice: 3
Test19Timecost: 70
Test20Choice: 3
Test20Timecost: 48
Test21Choice: 2
Test21Timecost: 62
Test22Choice: 3
Test22Timecost: 65
Test23Choice: 3
Test23Timecost: 42
Test24Choice: 2
Test24Timecost: 52
Test25Choice: 3
Test25Timecost: 31
Test26Choice: 1
Test26Timecost: 9
Test27Choice: 4
Test27Timecost: 31
Test28Choice: 4
Test28Timecost: 12
Test29Choice: 2
Test29Timecost: 30
Test30Choice: 3
Test30Timecost: 23
Test31Choice: 1
Test31Timecost: 11
Test32Choice: 4
Test32Timecost: 51
Test33Choice: 3
Test33Timecost: 12
Test34Choice: 1
Test34Timecost: 74
Test35Choice: 1
Test35Timecost: 44
Test36Choice: 2
Test36Timecost: 69
Test37Choice: 2
Test37Timecost: 65
Test38Choice: 4
Test38Timecost: 47
Test39Choice: 2
Test39Timecost: 57
Test40Choice: 3
Test40Timecost: 38
Test41Choice: 1
Test41Timecost: 16
Test42Choice: 4
Test42Timecost: 19
Test43Choice: 4
Test43Timecost: 18
Test44Choice: 2
Test44Timecost: 16
Test45Choice: 3
Test45Timecost: 26
Test46Choice: 3
Test46Timecost: 19
Q1: 4
Q2: 3
Q3: 4
Q4: 2
Q5: 4
Q6: 2
Q7: 5
Q8: 2
Q9: 4
Q10: 3
questionOrder: AL:1,MA:1,PR:1;AL:3,MA:3,PR:3;AL:2,MA:2,PR:3;AL:1,MA:5,PR:1;AL:3,MA:1,PR:3;AL:1,MA:2,PR:2;AL:3,MA:1,PR:2;AL:3,MA:2,PR:2;AL:2,MA:1,PR:3;AL:3,MA:5,PR:3;AL:1,MA:1,PR:3;AL:1,MA:3,PR:1;AL:2,MA:1,PR:2;AL:1,MA:4,PR:1;AL:3,MA:4,PR:1;AL:2,MA:3,PR:2;AL:2,MA:5,PR:3;AL:3,MA:1,PR:1;AL:2,MA:2,PR:1;AL:2,MA:1,PR:1;AL:1,MA:5,PR:2;AL:1,MA:2,PR:1;AL:2,MA:2,PR:2;AL:1,MA:4,PR:2;AL:2,MA:4,PR:3;AL:2,MA:3,PR:1;AL:3,MA:3,PR:2;AL:2,MA:4,PR:1;AL:2,MA:4,PR:2;AL:1,MA:2,PR:3;AL:3,MA:3,PR:1;AL:3,MA:2,PR:1;AL:1,MA:3,PR:3;AL:2,MA:3,PR:3;AL:2,MA:5,PR:2;AL:3,MA:5,PR:1;AL:3,MA:4,PR:3;AL:1,MA:1,PR:2;AL:3,MA:5,PR:2;AL:3,MA:4,PR:2;AL:1,MA:4,PR:3;AL:2,MA:5,PR:1;AL:1,MA:3,PR:2;AL:1,MA:5,PR:3;AL:3,MA:2,PR:3;
time: 1716s
