gender: female
major: Computer Science and Technology
age: 19
Test2Choice: 4
Test2Timecost: 136
Test3Choice: 3
Test3Timecost: 115
Test4Choice: 3
Test4Timecost: 76
Test5Choice: 1
Test5Timecost: 26
Test6Choice: 3
Test6Timecost: 63
Test7Choice: 1
Test7Timecost: 90
Test8Choice: 4
Test8Timecost: 61
Test9Choice: 1
Test9Timecost: 187
Test10Choice: 1
Test10Timecost: 104
Test11Choice: 2
Test11Timecost: 50
Test12Choice: 4
Test12Timecost: 30
Test13Choice: 4
Test13Timecost: 113
Test14Choice: 1
Test14Timecost: 94
Test15Choice: 1
Test15Timecost: 99
Test16Choice: 3
Test16Timecost: 46
Test17Choice: 3
Test17Timecost: 79
Test18Choice: 4
Test18Timecost: 35
Test19Choice: 1
Test19Timecost: 12
Test20Choice: 3
Test20Timecost: 21
Test21Choice: 1
Test21Timecost: 20
Test22Choice: 3
Test22Timecost: 59
Test23Choice: 3
Test23Timecost: 30
Test24Choice: 3
Test24Timecost: 25
Test25Choice: 2
Test25Timecost: 101
Test26Choice: 4
Test26Timecost: 43
Test27Choice: 3
Test27Timecost: 46
Test28Choice: 1
Test28Timecost: 75
Test29Choice: 4
Test29Timecost: 39
Test30Choice: 1
Test30Timecost: 18
Test31Choice: 1
Test31Timecost: 10
Test32Choice: 4
Test32Timecost: 71
Test33Choice: 3
Test33Timecost: 36
Test34Choice: 1
Test34Timecost: 6
Test35Choice: 3
Test35Timecost: 18
Test36Choice: 1
Test36Timecost: 14
Test37Choice: 1
Test37Timecost: 45
Test38Choice: 4
Test38Timecost: 18
Test39Choice: 1
Test39Timecost: 27
Test40Choice: 1
Test40Timecost: 107
Test41Choice: 4
Test41Timecost: 42
Test42Choice: 3
Test42Timecost: 36
Test43Choice: 4
Test43Timecost: 80
Test44Choice: 1
Test44Timecost: 45
Test45Choice: 1
Test45Timecost: 20
Test46Choice: 3
Test46Timecost: 8
Q1: 4
Q2: 3
Q3: 4
Q4: 3
Q5: 4
Q6: 2
Q7: 5
Q8: 3
Q9: 4
Q10: 2
questionOrder: AL:1,MA:1,PR:1;AL:2,MA:5,PR:1;AL:1,MA:5,PR:2;AL:3,MA:4,PR:3;AL:3,MA:2,PR:1;AL:3,MA:1,PR:2;AL:3,MA:3,PR:1;AL:1,MA:3,PR:3;AL:1,MA:1,PR:2;AL:2,MA:2,PR:2;AL:2,MA:3,PR:2;AL:1,MA:1,PR:3;AL:3,MA:3,PR:3;AL:2,MA:2,PR:3;AL:2,MA:4,PR:2;AL:3,MA:5,PR:1;AL:1,MA:4,PR:1;AL:2,MA:5,PR:3;AL:2,MA:5,PR:2;AL:1,MA:4,PR:3;AL:2,MA:2,PR:1;AL:3,MA:5,PR:2;AL:3,MA:4,PR:2;AL:1,MA:5,PR:3;AL:3,MA:1,PR:1;AL:1,MA:4,PR:2;AL:3,MA:2,PR:3;AL:3,MA:4,PR:1;AL:3,MA:1,PR:3;AL:2,MA:4,PR:3;AL:2,MA:1,PR:1;AL:1,MA:3,PR:1;AL:3,MA:5,PR:3;AL:2,MA:1,PR:2;AL:3,MA:2,PR:2;AL:1,MA:3,PR:2;AL:1,MA:2,PR:1;AL:2,MA:3,PR:3;AL:1,MA:2,PR:2;AL:2,MA:3,PR:1;AL:2,MA:1,PR:3;AL:1,MA:5,PR:1;AL:2,MA:4,PR:1;AL:3,MA:3,PR:2;AL:1,MA:2,PR:3;
time: 2168s
