gender: male
major: Computer Science and Technology
age: 18
Test2Choice: 3
Test2Timecost: 66
Test3Choice: 1
Test3Timecost: 61
Test4Choice: 3
Test4Timecost: 89
Test5Choice: 1
Test5Timecost: 32
Test6Choice: 4
Test6Timecost: 43
Test7Choice: 3
Test7Timecost: 92
Test8Choice: 1
Test8Timecost: 24
Test9Choice: 3
Test9Timecost: 81
Test10Choice: 3
Test10Timecost: 138
Test11Choice: 3
Test11Timecost: 39
Test12Choice: 1
Test12Timecost: 11
Test13Choice: 3
Test13Timecost: 47
Test14Choice: 3
Test14Timecost: 38
Test15Choice: 3
Test15Timecost: 49
Test16Choice: 2
Test16Timecost: 30
Test17Choice: 3
Test17Timecost: 174
Test18Choice: 1
Test18Timecost: 113
Test19Choice: 1
Test19Timecost: 14
Test20Choice: 3
Test20Timecost: 26
Test21Choice: 2
Test21Timecost: 74
Test22Choice: 2
Test22Timecost: 49
Test23Choice: 2
Test23Timecost: 38
Test24Choice: 3
Test24Timecost: 33
Test25Choice: 1
Test25Timecost: 6
Test26Choice: 2
Test26Timecost: 43
Test27Choice: 2
Test27Timecost: 35
Test28Choice: 3
Test28Timecost: 38
Test29Choice: 2
Test29Timecost: 35
Test30Choice: 1
Test30Timecost: 39
Test31Choice: 1
Test31Timecost: 12
Test32Choice: 3
Test32Timecost: 179
Test33Choice: 1
Test33Timecost: 110
Test34Choice: 1
Test34Timecost: 21
Test35Choice: 1
Test35Timecost: 31
Test36Choice: 2
Test36Timecost: 81
Test37Choice: 3
Test37Timecost: 47
Test38Choice: 1
Test38Timecost: 30
Test39Choice: 4
Test39Timecost: 26
Test40Choice: 1
Test40Timecost: 7
Test41Choice: 3
Test41Timecost: 45
Test42Choice: 2
Test42Timecost: 31
Test43Choice: 3
Test43Timecost: 43
Test44Choice: 3
Test44Timecost: 33
Test45Choice: 1
Test45Timecost: 30
Test46Choice: 2
Test46Timecost: 3
Q1: 5
Q2: 1
Q3: 4
Q4: 1
Q5: 5
Q6: 1
Q7: 4
Q8: 1
Q9: 5
Q10: 1
questionOrder: AL:1,MA:1,PR:1;AL:2,MA:1,PR:3;AL:1,MA:2,PR:1;AL:3,MA:1,PR:3;AL:3,MA:3,PR:2;AL:2,MA:3,PR:1;AL:1,MA:5,PR:3;AL:1,MA:3,PR:1;AL:3,MA:5,PR:1;AL:3,MA:4,PR:2;AL:1,MA:4,PR:3;AL:2,MA:5,PR:1;AL:2,MA:2,PR:1;AL:2,MA:4,PR:2;AL:1,MA:3,PR:3;AL:3,MA:5,PR:2;AL:3,MA:4,PR:1;AL:2,MA:5,PR:3;AL:2,MA:5,PR:2;AL:1,MA:4,PR:1;AL:3,MA:2,PR:1;AL:3,MA:1,PR:1;AL:1,MA:1,PR:2;AL:3,MA:4,PR:3;AL:2,MA:2,PR:2;AL:3,MA:2,PR:3;AL:3,MA:1,PR:2;AL:2,MA:4,PR:1;AL:3,MA:5,PR:3;AL:1,MA:1,PR:3;AL:2,MA:2,PR:3;AL:2,MA:1,PR:1;AL:3,MA:3,PR:1;AL:3,MA:2,PR:2;AL:3,MA:3,PR:3;AL:2,MA:1,PR:2;AL:1,MA:2,PR:2;AL:1,MA:3,PR:2;AL:1,MA:4,PR:2;AL:2,MA:4,PR:3;AL:2,MA:3,PR:3;AL:2,MA:3,PR:2;AL:1,MA:2,PR:3;AL:1,MA:5,PR:2;AL:1,MA:5,PR:1;
time: 2027s
