gender: male
major: Computer Science and Technology
age: 19
Test2Choice: 2
Test2Timecost: 17
Test3Choice: 2
Test3Timecost: 74
Test4Choice: 3
Test4Timecost: 88
Test5Choice: 1
Test5Timecost: 8
Test6Choice: 1
Test6Timecost: 19
Test7Choice: 3
Test7Timecost: 30
Test8Choice: 2
Test8Timecost: 24
Test9Choice: 3
Test9Timecost: 84
Test10Choice: 2
Test10Timecost: 32
Test11Choice: 1
Test11Timecost: 88
Test12Choice: 1
Test12Timecost: 38
Test13Choice: 4
Test13Timecost: 42
Test14Choice: 1
Test14Timecost: 47
Test15Choice: 3
Test15Timecost: 95
Test16Choice: 1
Test16Timecost: 12
Test17Choice: 3
Test17Timecost: 43
Test18Choice: 3
Test18Timecost: 47
Test19Choice: 1
Test19Timecost: 27
Test20Choice: 3
Test20Timecost: 23
Test21Choice: 3
Test21Timecost: 52
Test22Choice: 2
Test22Timecost: 31
Test23Choice: 2
Test23Timecost: 48
Test24Choice: 4
Test24Timecost: 29
Test25Choice: 4
Test25Timecost: 29
Test26Choice: 4
Test26Timecost: 166
Test27Choice: 1
Test27Timecost: 26
Test28Choice: 3
Test28Timecost: 59
Test29Choice: 3
Test29Timecost: 58
Test30Choice: 3
Test30Timecost: 42
Test31Choice: 1
Test31Timecost: 9
Test32Choice: 2
Test32Timecost: 33
Test33Choice: 3
Test33Timecost: 43
Test34Choice: 3
Test34Timecost: 33
Test35Choice: 3
Test35Timecost: 10
Test36Choice: 1
Test36Timecost: 39
Test37Choice: 2
Test37Timecost: 37
Test38Choice: 2
Test38Timecost: 40
Test39Choice: 4
Test39Timecost: 29
Test40Choice: 2
Test40Timecost: 21
Test41Choice: 1
Test41Timecost: 158
Test42Choice: 1
Test42Timecost: 31
Test43Choice: 4
Test43Timecost: 49
Test44Choice: 1
Test44Timecost: 52
Test45Choice: 3
Test45Timecost: 44
Test46Choice: 1
Test46Timecost: 17
Q1: 4
Q2: 1
Q3: 4
Q4: 1
Q5: 5
Q6: 3
Q7: 5
Q8: 2
Q9: 4
Q10: 1
questionOrder: AL:1,MA:1,PR:1;AL:3,MA:2,PR:2;AL:2,MA:1,PR:1;AL:1,MA:5,PR:3;AL:2,MA:5,PR:3;AL:2,MA:4,PR:2;AL:2,MA:3,PR:3;AL:1,MA:5,PR:1;AL:2,MA:2,PR:2;AL:3,MA:5,PR:3;AL:1,MA:1,PR:3;AL:1,MA:3,PR:2;AL:3,MA:2,PR:3;AL:1,MA:3,PR:1;AL:1,MA:4,PR:3;AL:3,MA:4,PR:2;AL:2,MA:2,PR:1;AL:2,MA:3,PR:1;AL:1,MA:4,PR:2;AL:1,MA:2,PR:1;AL:1,MA:3,PR:3;AL:3,MA:4,PR:1;AL:3,MA:3,PR:2;AL:2,MA:3,PR:2;AL:3,MA:1,PR:1;AL:3,MA:1,PR:3;AL:3,MA:3,PR:1;AL:3,MA:2,PR:1;AL:2,MA:5,PR:2;AL:2,MA:1,PR:3;AL:2,MA:4,PR:3;AL:2,MA:2,PR:3;AL:3,MA:5,PR:2;AL:3,MA:1,PR:2;AL:3,MA:5,PR:1;AL:1,MA:1,PR:2;AL:2,MA:4,PR:1;AL:3,MA:3,PR:3;AL:1,MA:5,PR:2;AL:2,MA:5,PR:1;AL:2,MA:1,PR:2;AL:1,MA:4,PR:1;AL:1,MA:2,PR:3;AL:3,MA:4,PR:3;AL:1,MA:2,PR:2;
time: 1875s
