gender: male
major: Computer Science and Technology
age: 17
Test2Choice: 3
Test2Timecost: 135
Test3Choice: 4
Test3Timecost: 58
Test4Choice: 2
Test4Timecost: 60
Test5Choice: 4
Test5Timecost: 47
Test6Choice: 3
Test6Timecost: 39
Test7Choice: 3
Test7Timecost: 74
Test8Choice: 3
Test8Timecost: 30
Test9Choice: 2
Test9Timecost: 47
Test10Choice: 1
Test10Timecost: 32
Test11Choice: 3
Test11Timecost: 55
Test12Choice: 1
Test12Timecost: 28
Test13Choice: 2
Test13Timecost: 67
Test14Choice: 3
Test14Timecost: 58
Test15Choice: 4
Test15Timecost: 55
Test16Choice: 3
Test16Timecost: 83
Test17Choice: 1
Test17Timecost: 66
Test18Choice: 1
Test18Timecost: 10
Test19Choice: 1
Test19Timecost: 10
Test20Choice: 1
Test20Timecost: 19
Test21Choice: 3
Test21Timecost: 90
Test22Choice: 3
Test22Timecost: 65
Test23Choice: 1
Test23Timecost: 39
Test24Choice: 3
Test24Timecost: 48
Test25Choice: 3
Test25Timecost: 73
Test26Choice: 4
Test26Timecost: 10
Test27Choice: 1
Test27Timecost: 17
Test28Choice: 4
Test28Timecost: 16
Test29Choice: 1
Test29Timecost: 15
Test30Choice: 2
Test30Timecost: 46
Test31Choice: 4
Test31Timecost: 31
Test32Choice: 1
Test32Timecost: 71
Test33Choice: 1
Test33Timecost: 15
Test34Choice: 1
Test34Timecost: 12
Test35Choice: 1
Test35Timecost: 8
Test36Choice: 3
Test36Timecost: 76
Test37Choice: 3
Test37Timecost: 51
Test38Choice: 3
Test38Timecost: 29
Test39Choice: 2
Test39Timecost: 34
Test40Choice: 3
Test40Timecost: 65
Test41Choice: 4
Test41Timecost: 1
Test42Choice: 1
Test42Timecost: 19
Test43Choice: 1
Test43Timecost: 23
Test44Choice: 1
Test44Timecost: 10
Test45Choice: 4
Test45Timecost: 49
Test46Choice: 1
Test46Timecost: 36
Q1: 5
Q2: 4
Q3: 2
Q4: 4
Q5: 4
Q6: 2
Q7: 2
Q8: 3
Q9: 3
Q10: 2
questionOrder: AL:1,MA:1,PR:1;AL:3,MA:1,PR:1;AL:2,MA:4,PR:1;AL:1,MA:3,PR:2;AL:1,MA:4,PR:2;AL:2,MA:5,PR:2;AL:2,MA:4,PR:2;AL:2,MA:3,PR:3;AL:1,MA:3,PR:3;AL:2,MA:2,PR:1;AL:1,MA:1,PR:3;AL:1,MA:2,PR:2;AL:3,MA:5,PR:2;AL:2,MA:1,PR:1;AL:3,MA:3,PR:1;AL:3,MA:2,PR:3;AL:2,MA:5,PR:3;AL:1,MA:4,PR:3;AL:1,MA:5,PR:3;AL:1,MA:5,PR:1;AL:2,MA:1,PR:2;AL:1,MA:2,PR:3;AL:1,MA:5,PR:2;AL:2,MA:5,PR:1;AL:3,MA:5,PR:3;AL:3,MA:1,PR:3;AL:2,MA:1,PR:3;AL:2,MA:4,PR:3;AL:2,MA:2,PR:2;AL:2,MA:3,PR:2;AL:3,MA:3,PR:2;AL:3,MA:2,PR:1;AL:3,MA:1,PR:2;AL:1,MA:1,PR:2;AL:2,MA:3,PR:1;AL:1,MA:3,PR:1;AL:3,MA:2,PR:2;AL:3,MA:4,PR:2;AL:3,MA:4,PR:3;AL:3,MA:3,PR:3;AL:1,MA:4,PR:1;AL:2,MA:2,PR:3;AL:3,MA:5,PR:1;AL:3,MA:4,PR:1;AL:1,MA:2,PR:1;
time: 1581s
