gender: male
major: Computer Science and Technology
age: 19
Test2Choice: 4
Test2Timecost: 24
Test3Choice: 3
Test3Timecost: 21
Test4Choice: 2
Test4Timecost: 45
Test5Choice: 2
Test5Timecost: 12
Test6Choice: 2
Test6Timecost: 50
Test7Choice: 1
Test7Timecost: 9
Test8Choice: 1
Test8Timecost: 5
Test9Choice: 3
Test9Timecost: 69
Test10Choice: 3
Test10Timecost: 29
Test11Choice: 4
Test11Timecost: 15
Test12Choice: 1
Test12Timecost: 9
Test13Choice: 2
Test13Timecost: 52
Test14Choice: 4
Test14Timecost: 9
Test15Choice: 2
Test15Timecost: 29
Test16Choice: 4
Test16Timecost: 43
Test17Choice: 3
Test17Timecost: 98
Test18Choice: 2
Test18Timecost: 15
Test19Choice: 1
Test19Timecost: 39
Test20Choice: 3
Test20Timecost: 37
Test21Choice: 4
Test21Timecost: 20
Test22Choice: 3
Test22Timecost: 60
Test23Choice: 1
Test23Timecost: 6
Test24Choice: 2
Test24Timecost: 14
Test25Choice: 3
Test25Timecost: 24
Test26Choice: 2
Test26Timecost: 39
Test27Choice: 3
Test27Timecost: 60
Test28Choice: 4
Test28Timecost: 18
Test29Choice: 2
Test29Timecost: 26
Test30Choice: 3
Test30Timecost: 44
Test31Choice: 2
Test31Timecost: 7
Test32Choice: 3
Test32Timecost: 84
Test33Choice: 2
Test33Timecost: 5
Test34Choice: 1
Test34Timecost: 34
Test35Choice: 2
Test35Timecost: 39
Test36Choice: 2
Test36Timecost: 23
Test37Choice: 1
Test37Timecost: 47
Test38Choice: 1
Test38Timecost: 5
Test39Choice: 3
Test39Timecost: 10
Test40Choice: 3
Test40Timecost: 14
Test41Choice: 4
Test41Timecost: 43
Test42Choice: 1
Test42Timecost: 58
Test43Choice: 4
Test43Timecost: 6
Test44Choice: 2
Test44Timecost: 33
Test45Choice: 2
Test45Timecost: 36
Test46Choice: 4
Test46Timecost: 4
Q1: 3
Q2: 3
Q3: 3
Q4: 4
Q5: 4
Q6: 2
Q7: 3
Q8: 2
Q9: 3
Q10: 4
questionOrder: AL:1,MA:1,PR:1;AL:2,MA:1,PR:2;AL:2,MA:1,PR:1;AL:2,MA:3,PR:3;AL:2,MA:4,PR:1;AL:2,MA:1,PR:3;AL:2,MA:4,PR:3;AL:2,MA:2,PR:1;AL:3,MA:1,PR:2;AL:3,MA:5,PR:3;AL:2,MA:5,PR:3;AL:3,MA:2,PR:2;AL:2,MA:3,PR:2;AL:3,MA:4,PR:1;AL:3,MA:3,PR:2;AL:1,MA:3,PR:1;AL:3,MA:2,PR:3;AL:2,MA:3,PR:1;AL:2,MA:4,PR:2;AL:1,MA:5,PR:3;AL:1,MA:5,PR:1;AL:1,MA:4,PR:3;AL:1,MA:3,PR:3;AL:1,MA:4,PR:2;AL:1,MA:5,PR:2;AL:3,MA:2,PR:1;AL:1,MA:3,PR:2;AL:2,MA:2,PR:2;AL:3,MA:5,PR:1;AL:3,MA:3,PR:3;AL:1,MA:4,PR:1;AL:1,MA:1,PR:3;AL:1,MA:2,PR:1;AL:3,MA:1,PR:1;AL:1,MA:1,PR:2;AL:3,MA:5,PR:2;AL:3,MA:4,PR:2;AL:2,MA:5,PR:1;AL:2,MA:2,PR:3;AL:1,MA:2,PR:2;AL:3,MA:3,PR:1;AL:3,MA:1,PR:3;AL:1,MA:2,PR:3;AL:3,MA:4,PR:3;AL:2,MA:5,PR:2;
time: 1455s
